SID,LNAME,FNAME,DOB,GENDER,MAJOR,ENROLL_D,GPA,EMAIL
50000000,Taylor,Quinn,19990102,X,CSCI,20240313,4.00,quinn.taylor0@student.mcc.edu
50000001,Martin,Mason,20050925,M,CSCI,20250710,3.59,mason.martin1@student.mcc.edu
50000002,Ramirez,Skyler,19890329,X,HIST,20240722,2.58,skyler.ramirez2@student.mcc.edu
50000003,Davis,Sophia,19970808,M,PHYS,20250519,3.81,sophia.davis3@student.mcc.edu
50000004,Rodriguez,Evan,19891127,F,ARTS,20240907,2.37,evan.rodriguez4@student.mcc.edu
50000005,Rodriguez,Alex,19900617,M,BUSN,20231223,2.88,alex.rodriguez5@student.mcc.edu
50000006,Garcia,Mia,20011225,M,BIOL,20230313,3.55,mia.garcia6@student.mcc.edu
50000007,Ramirez,Jordan,19910926,M,PHYS,20231113,2.57,jordan.ramirez7@student.mcc.edu
50000008,Lopez,Ethan,20000429,F,CSCI,20240926,3.77,ethan.lopez8@student.mcc.edu
50000009,Martin,Ava,19931206,F,BIOL,20250216,2.47,ava.martin9@student.mcc.edu
50000010,Clark,Parker,20021115,F,BIOL,20230228,3.58,parker.clark10@student.mcc.edu
50000011,White,Ava,19971017,M,MATH,20241104,2.45,ava.white11@student.mcc.edu
50000012,Lewis,Parker,20061030,F,ENGL,20231011,3.10,parker.lewis12@student.mcc.edu
50000013,Smith,Isabella,19900215,X,ACCT,20240912,3.58,isabella.smith13@student.mcc.edu
50000014,Jackson,Taylor,19980910,X,BUSN,20231108,2.17,taylor.jackson14@student.mcc.edu
50000015,Martin,Adrien,20040722,M,BIOL,20230509,3.72,adrien.martin15@student.mcc.edu
50000016,Brown,Logan,20070209,X,COMM,20230712,3.39,logan.brown16@student.mcc.edu
50000017,Williams,Sophia,19960603,M,BIOL,20240507,2.48,sophia.williams17@student.mcc.edu
50000018,Harris,Drew,19900913,X,ARTS,20241028,2.52,drew.harris18@student.mcc.edu
50000019,Martinez,Harper,19910711,X,HIST,20240630,3.78,harper.martinez19@student.mcc.edu
50000020,Anderson,Taylor,20050612,M,ENGL,20240519,2.74,taylor.anderson20@student.mcc.edu
50000021,Lopez,Reese,19970705,F,BUSN,20250305,3.33,reese.lopez21@student.mcc.edu
50000022,Davis,Isabella,20020130,M,ARTS,20250730,3.51,isabella.davis22@student.mcc.edu
50000023,Thompson,Morgan,20060718,M,PSYC,20250201,3.51,morgan.thompson23@student.mcc.edu
50000024,Taylor,Mason,19850907,F,HIST,20231203,2.88,mason.taylor24@student.mcc.edu
50000025,Gonzalez,Evan,19900911,M,HIST,20250508,4.0,evan.gonzalez25@student.mcc.edu
50000026,Miller,Rowan,19940905,F,PSYC,20231226,2.83,rowan.miller26@student.mcc.edu
50000027,Robinson,Olivia,19940625,F,ENGL,20250105,2.58,olivia.robinson27@student.mcc.edu
50000028,Ramirez,Parker,20040530,M,CHEM,20241208,3.30,parker.ramirez28@student.mcc.edu
50000029,Williams,Noah,19921009,X,COMM,20240817,2.53,noah.williams29@student.mcc.edu
50000030,Garcia,Noah,20001222,F,COMM,20240129,2.03,noah.garcia30@student.mcc.edu
50000031,Lee,Harper,19941012,X,MATH,20230124,2.32,harper.lee31@student.mcc.edu
50000032,Sanchez,Morgan,20020513,M,ARTS,20240711,3.11,morgan.sanchez32@student.mcc.edu
50000033,Taylor,Liam,20070209,X,CHEM,20241212,3.08,liam.taylor33@student.mcc.edu
50000034,Robinson,Taylor,20041108,M,BUSN,20240810,2.76,taylor.robinson34@student.mcc.edu
50000035,Davis,Alex,20070924,F,MATH,20230816,3.72,alex.davis35@student.mcc.edu
50000036,Harris,Drew,19850910,M,COMM,20231110,3.02,drew.harris36@student.mcc.edu
50000037,Harris,Jamie,20040909,F,ENGL,20230104,2.31,jamie.harris37@student.mcc.edu
50000038,Hernandez,Emma,19871107,F,HIST,20250219,2.56,emma.hernandez38@student.mcc.edu
50000039,Lopez,Ava,19991205,M,PHYS,20240604,2.40,ava.lopez39@student.mcc.edu
50000040,Martinez,Skyler,19921108,F,CHEM,20250430,2.68,skyler.martinez40@student.mcc.edu
50000041,Williams,Alex,19951005,F,CSCI,20241211,3.39,alex.williams41@student.mcc.edu
50000042,Miller,Harper,19900204,M,PSYC,20240315,2.86,harper.miller42@student.mcc.edu
50000043,Lopez,Cameron,19881029,F,CSCI,20231002,2.34,cameron.lopez43@student.mcc.edu
50000044,Clark,Taylor,19981013,F,ACCT,20250406,2.88,taylor.clark44@student.mcc.edu
50000045,Smith,Taylor,20000203,F,MATH,20240103,2.59,taylor.smith45@student.mcc.edu
50000046,Anderson,Avery,20030827,F,HIST,20250507,3.27,avery.anderson46@student.mcc.edu
50000047,Moore,Jamie,20020923,F,BUSN,20241109,2.24,jamie.moore47@student.mcc.edu
50000048,Martin,Quinn,20010706,X,CHEM,20230112,3.21,quinn.martin48@student.mcc.edu
50000049,Johnson,Logan,19981022,F,ARTS,20250720,3.69,logan.johnson49@student.mcc.edu
50000050,Martinez,Sophia,20070523,M,HIST,20250317,3.81,sophia.martinez50@student.mcc.edu
